DIM,N,R,sigma,v_s,dt,dx,dy,dz,relative_Bianchi_residual,rho_relative_peak_error,lambda_fit,beta_fit,analytic_residual_H,analytic_residual_HT,analytic_residual_R,analytic_residual_HTR,analytic_residual_action_beta_minus_1,analytic_improvement_HTR_over_H,analytic_action_over_fit,beta_fit_minus_beta_action,abs_beta_fit_plus_1,Q_fit_residual,Q_action_residual,action_residual_over_fit_residual,relative_tensor_difference_action_vs_fit,integral_abs_rho_A,integral_Q_action_positive,integral_Q_action_signed,integral_Q_fit_positive,action_positive_fraction_of_abs_rho,action_signed_fraction_of_abs_rho,eta_needed_for_action_positive_to_match_abs_rho,action_Q00_absrho_correlation,fit_Q00_absrho_correlation,runtime_seconds,ram_available_gib_after,confirmation
4,61,3.0,4.0,0.5,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.175814330228553,0.45155265975268616,0.10125720114768087,-0.1587569939590527,0.22491273007097398,0.21983387278090424,0.22438514906461043,0.21906396405132045,0.23974389275321523,0.026004601952979156,1.0944013260759313,0.8412430060409473,0.8412430060409473,0.7014149238033901,0.7056381794846392,1.0060210519307868,0.014512340551218417,0.17181733978819866,351.00823560048894,-1.3311076207974868,351.3791356219033,2042.915086644812,-7.747225177845027,0.0004894966053838063,0.0070481357203192475,0.007779715851316862,678.6631655693054,6.438362121582031,True
4,61,4.0,4.0,0.5,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.1764195665776818,0.4453234678494629,0.10449671047807287,0.013249394074998918,0.2932375937232863,0.28557200917036657,0.2932127941582285,0.28556666942620434,0.3152531323111913,0.02615941632750063,1.103956329863834,1.013249394074999,1.013249394074999,0.701272952962925,0.7063029655615439,1.0071726887189456,0.017165228889808527,0.30534223070179317,609.2256871783721,-9.578953396352933,609.8896026991267,1995.2224943734072,-31.37120395805335,0.0005011972363082477,0.009925350862262558,0.01049295233086497,684.9381442070007,8.95534896850586,True
4,61,2.0,2.0,0.75,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.056926429940056734,0.17446072708045526,0.12096494957343644,-0.8679686132762774,0.049370198547528506,0.04664697040052332,0.043960879871177416,0.04151642142511495,0.041642282299454936,0.15907931005893683,1.0030315925607174,0.1320313867237226,0.1320313867237226,0.2504118776423243,0.25035001452880346,0.9997529545558969,0.002364890233548636,0.09172413430798768,73.79753055624609,1.4656805822011632,73.83493374626632,804.5595754379284,15.979225023588217,0.0012429160382010141,0.014459244107052547,0.014729233772599727,737.3797674179077,7.9820556640625,True
4,61,3.0,2.0,0.75,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.05823910506797002,0.17883014786916504,0.12419403347442587,-0.8162583078003279,0.06671185046759394,0.06245065000592241,0.06295712176673107,0.05920292899837462,0.059371767611909564,0.1125575353792182,1.0028518625073362,0.18374169219967207,0.18374169219967207,0.2504117394654405,0.2504158532551179,1.0000164281023174,0.0029259222339049168,0.20421182251667533,153.0030167330922,2.197011015922445,153.08033800756948,749.2368210983399,10.758490810408606,0.0013346914778348121,0.024675076476727162,0.024849956230892385,805.5086402893066,6.0640106201171875,True
4,61,4.0,2.0,0.75,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.059094119709744715,0.17926381111405085,0.14330400402580595,-0.7480216107858815,0.08414653342552837,0.07680513917313891,0.08115882704775251,0.07457226313478195,0.07482898905817864,0.11378092359823566,1.0034426462682604,0.2519783892141185,0.2519783892141185,0.25103923789916777,0.2510731394939748,1.0001350450036846,0.003824683638859383,0.3607926400920234,249.8835671194941,-9.755785164250716,250.03122167381764,692.5960769481303,-27.039867447857073,0.0014438430035677082,0.03391469868081743,0.03401215952871617,719.1352095603943,6.423015594482422,True
4,61,2.0,4.0,0.75,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.2889014403400213,0.44143867082939736,0.2619229854362892,-0.13164018330259258,2.2555715963459613,2.1962893093114904,2.255398705698118,2.1909197880017217,2.413541519364842,0.02866315946209641,1.1016110825153338,0.8683598166974074,0.8683598166974074,1.1516411980259162,1.154943357477866,1.0028673509228483,0.01640250895855582,0.17198564883567447,949.935407215558,-0.5957968639554447,953.0347137027616,5523.341125533003,-3.4642243000443904,0.0001810498351038385,0.01068643919979286,0.012610188011063915,709.234769821167,8.040401458740234,True
4,61,3.0,4.0,0.75,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.2907193202680321,0.45154764194108693,0.28189637386298316,0.16127119638198378,3.3108686163611902,3.1920307528499134,3.297766283005574,3.184992169081852,3.531501052957408,0.03801916109183545,1.1087942655681458,1.1612711963819837,1.1612711963819837,1.1521116009946577,1.1562542819956154,1.0035957289184323,0.021189407916648757,0.3865890225534962,2064.9205611053444,-14.361453576087492,2071.8877392981576,5341.38436592467,-37.149149971272536,0.0001872173825159436,0.01488073553016681,0.016442566272485852,684.5202569961548,6.745220184326172,True
4,61,4.0,4.0,0.75,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.29136904111864986,0.44532136146479934,0.29879350051142345,0.3621491973409733,4.401587948484691,4.219461340428247,4.35426236249745,4.184716269547829,4.6521953858529494,0.049271236080043024,1.1117110662213743,1.3621491973409734,1.3621491973409734,1.1522004138663844,1.1570311718235748,1.0041926368876923,0.024543000167016268,0.6870194371806503,3577.566639819186,-83.14905310087501,3589.6915337292053,5207.373250603495,-121.02867633861594,0.0001920353990150615,0.017497351689714002,0.0186399617380235,742.560314655304,6.481906890869141,True
4,61,2.0,2.0,1.0,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.07692373884620032,0.17445014959928107,0.2247780183471145,-0.6815902213513854,0.2957013667753188,0.2790815631007869,0.28472220443263746,0.2675893188728129,0.27013904734463473,0.09506904959240892,1.0095285136288783,0.31840977864861464,0.31840977864861464,0.39575317289194284,0.3954066941147619,0.9991245078980693,0.0072548256424347455,0.16306512765229736,267.4920436447451,8.550089802344557,268.0313444605317,1640.4000505559748,52.433588501987096,0.0006096073940384686,0.021792597631379442,0.022599784792192427,670.4139804840088,5.579906463623047,True
4,61,3.0,2.0,1.0,0.013333333333333308,0.16666666666666696,0.16666666666666696,0.16666666666666696,0.07822318172371617,0.17882696100346615,0.23262669827146543,-0.5685466303249995,0.4163275285634613,0.3891304770004175,0.4101303089022812,0.3833954116792144,0.38670853508489206,0.07910146369104909,1.0086415311836066,0.4314533696750005,0.4314533696750005,0.3955594829450473,0.395334630859751,0.9994315593608775,0.008920316022777274,0.3630432213426792,554.2211710632329,12.910365333468478,555.313297941707,1526.598318000543,35.56151051580244,0.0006550511606155486,0.02894138840972609,0.029424000167649976,749.5250055789948,6.216175079345703,True
