DIM,N,R,sigma,v_s,dt,dx,dy,dz,relative_Bianchi_residual,rho_relative_peak_error,lambda_fit,beta_fit,analytic_residual_H,analytic_residual_HT,analytic_residual_R,analytic_residual_HTR,analytic_residual_action_beta_minus_1,analytic_improvement_HTR_over_H,analytic_action_over_fit,beta_fit_minus_beta_action,abs_beta_fit_plus_1,Q_fit_residual,Q_action_residual,action_residual_over_fit_residual,relative_tensor_difference_action_vs_fit,integral_abs_rho_A,integral_Q_action_positive,integral_Q_action_signed,integral_Q_fit_positive,action_positive_fraction_of_abs_rho,action_signed_fraction_of_abs_rho,eta_needed_for_action_positive_to_match_abs_rho,action_Q00_absrho_correlation,fit_Q00_absrho_correlation,runtime_seconds,ram_available_gib_after
4,31,3.0,0.5,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.004890623814491564,0.04457189354406667,0.027272549856116917,-1.0186555272044824,4.103741639069898e-05,3.312834382758919e-05,2.538585958293812e-05,1.3068765091942145e-05,1.3080651071267378e-05,0.6815402566399344,1.000909495215624,-0.01865552720448238,0.01865552720448238,0.018170281569210536,0.01818378846859928,1.0007433511328538,0.0007326712975264053,0.05465333262910854,0.3369086675709687,0.001993860433632585,0.3368533084798173,6.164467039134043,0.03648195522061629,0.16222002545421602,-0.09160870798268118,-0.09161341100055811,36.658950090408325,14.620155334472656
4,31,4.0,0.5,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.0042486231149035415,0.046047030150085516,0.027147068694100964,-1.0199283295413548,2.7501452014715723e-05,1.9778303377250157e-05,1.8228442170454117e-05,7.723504912413546e-06,7.731694255783663e-06,0.7191601044090041,1.001060314386148,-0.019928329541354817,0.019928329541354817,0.018235394276282173,0.018262083311011167,1.001463584188235,0.000497720845836237,0.06317154896984728,0.34384560551700416,0.06648206745181037,0.34377842146741155,5.443045344370561,1.052405213042081,0.18372068148104706,-0.1582565219577974,-0.1581292558149711,36.586201429367065,14.592864990234375
4,31,2.0,1.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.027400492399356324,0.15745104290866335,0.04398659426199194,-0.9315971296398492,0.0011020879828691767,0.0010308709147566536,0.0008158880435371771,0.0007341509654968825,0.0007360714295153506,0.3338544862946484,1.002615897967482,0.0684028703601508,0.0684028703601508,0.12175482428882375,0.12165637783774677,0.9991914369582313,0.0021111871811115884,0.046837658559578145,3.160702247088021,0.12075663478384463,3.1623077870339014,67.48207199699286,2.5781953773423694,0.01481875067565445,-0.03944441530493301,-0.03902549305023894,39.25541114807129,14.55209732055664
4,31,3.0,1.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.028182984419551037,0.17107773447972752,0.03662324229280401,-0.8912010638838771,0.0010737324747785131,0.0010004333744712036,0.0008890272882016362,0.0008178910429938784,0.0008209096510684777,0.23827297561937777,1.0036907215214752,0.1087989361161229,0.1087989361161229,0.12573660600879127,0.1256678893468748,0.9994534872214409,0.0022740701193103095,0.09490284908279101,4.689584216829209,-0.43829429905230954,4.692430152855792,49.414577772455765,-4.618347112740018,0.020236943126475747,0.016213931631061197,0.016352985797725095,38.988744258880615,14.581382751464844
4,31,4.0,1.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.028795553976739805,0.17446072708045268,0.07197472621962589,-0.90743381578089,0.0011243600609440291,0.0008205001736750994,0.0009781337392959152,0.0006438299826552003,0.0006459172231579436,0.4273809564930372,1.0032419125529621,0.09256618421911,0.09256618421911,0.12356657822837465,0.12340636993827916,0.9987034658368593,0.001606796618518221,0.14438115870643506,6.519673836775861,0.4325170922691301,6.522708006537501,45.155987770066844,2.99566159562794,0.022145457322115838,0.012983741974893825,0.012899413707834073,38.220786809921265,14.518733978271484
4,31,2.0,2.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.14021241971062207,0.43657906208243624,0.0634702656697731,-0.5192296467097041,0.0348445647620821,0.03459294737818699,0.03219345112812611,0.03140631156210662,0.03415654780568921,0.09867401769692918,1.0875695395858234,0.48077035329029594,0.48077035329029594,0.5702092118040961,0.571481045567019,1.0022304686360624,0.010594669935653028,0.07869344956474458,31.685374706851643,0.5656753592985088,31.779526148343443,402.64310285168887,7.188341118953016,0.0024835890467701464,-0.014107903494255244,-0.012017288697612268,43.59352660179138,14.540611267089844
4,31,3.0,2.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.14338046826600664,0.4536581060945907,0.06270791805190272,-0.3157924108026872,0.045456800563382166,0.04464601739250737,0.04485325608740127,0.04371898202108624,0.047915508901003,0.03823011124315312,1.0959886686724023,0.6842075891973127,0.6842075891973127,0.5757177302686689,0.577117399674478,1.0024311730075708,0.013455248734784684,0.1761280571895551,62.75281027658244,-0.668040456482313,62.95203146117484,356.2908220184686,-3.792924688673224,0.002806695929843975,0.0059282649540482995,0.007135428012437645,37.801103830337524,14.620662689208984
4,31,4.0,2.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.14558466182974142,0.4414386708293952,0.14682259860248914,-0.26686601700844614,0.05123617609210484,0.043928548332307776,0.051440597288889826,0.04324653303992804,0.048155721663982715,0.15593753596705184,1.1135163509991006,0.7331339829915539,0.7331339829915539,0.5759930373648056,0.5770454202251077,1.0018270756624366,0.013554741070980154,0.29887300561400937,90.78621570973021,-7.148690360559092,91.08600363433665,303.76184534704834,-23.918822463985034,0.0032920526896901706,0.025798290215045715,0.02610690892700754,36.782146692276,14.533123016357422
4,31,2.0,4.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.7239503948054089,0.6741517385668411,0.07822182156239055,-0.3336446757039206,1.4490335722007348,1.449908156383685,1.3506974333581916,1.3407506130548155,1.735710029234014,0.07472770902158155,1.2945808208726517,0.6663553242960794,0.6663553242960794,0.48948000455383134,0.4910535827655556,1.0032147956956048,0.00846504129206476,0.133097290229647,317.40572697480536,-20.760635062931208,318.79973033356964,2384.764756871844,-155.98089958939556,0.000419328571976938,-0.08184355359792357,-0.08004544574995293,31.620460510253906,14.562568664550781
4,31,3.0,4.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.7254082703464038,0.6783614256950617,0.09190028055713749,-0.20030138657829824,1.9834878790476682,1.9710026734997976,1.9498895337436077,1.9289419813781363,2.517042653699318,0.02749999041875717,1.3048825096859635,0.7996986134217018,0.7996986134217018,0.492306610901521,0.49430232385396816,1.0040538008392628,0.009510084261208938,0.3008056593983414,683.5669704395273,-44.75754423874432,686.124072609256,2272.4538222012466,-148.79222793968188,0.00044005294639225495,-0.07921753030132629,-0.07814098514947511,35.733447790145874,14.393123626708984
4,31,4.0,4.0,0.75,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.7365642888558526,0.7012485740228049,0.17689321722523205,-0.145661933779769,2.403764453563272,2.3125581764916268,2.3919915167402768,2.286070309616544,3.068614340704885,0.04896242798343309,1.3423096952864944,0.854338066220231,0.854338066220231,0.48683636692502075,0.488880203113464,1.00419819949227,0.009821229944868474,0.5285007843371115,1033.5703536959793,-223.52516472167014,1037.646225218873,1955.6647489035745,-422.94197349590223,0.0005113350846870052,-0.0742646958644586,-0.0737900755203923,36.45409846305847,14.507858276367188
4,31,2.0,0.5,1.0,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.008954033575126552,0.10781733497910184,0.06869769522971017,-0.998045064366619,0.0005703114491808866,0.0004142677497940947,0.0003964497255178588,0.0001603986059693489,0.00016040035081640798,0.7187526110518693,1.000010878193414,0.0019549356333810053,0.0019549356333810053,0.026656550905223873,0.02665481957036057,0.9999350503045402,0.0001737803326936089,0.07118947295189225,1.670162883122487,0.1618562240705016,1.6701823704464016,23.46081258743317,2.2735977295390186,0.04262426956752776,-0.09872089006920876,-0.09869657829662912,36.75896191596985,14.445510864257812
4,31,3.0,0.5,1.0,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.006439089645014719,0.04456067716771821,0.04875652961618563,-1.0161674994023084,0.00020615442127311205,0.0001516325670392006,0.0001587100247458871,8.171528821488021e-05,8.174055459278909e-05,0.6036209764008683,1.0003092001320786,-0.01616749940230844,0.01616749940230844,0.030084777367637348,0.03010591236323007,1.0007025146084496,0.0008686001745259952,0.09713110733038888,1.245354678750405,0.09418560047330977,1.2450941088280871,12.821378371754419,0.969674937946913,0.07799473434174649,-0.07755941014013273,-0.07755248599911123,30.672855377197266,14.45120620727539
4,31,4.0,0.5,1.0,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.005487346963585131,0.04604143214694521,0.04820461531160305,-1.0200903168996116,0.0001440398691188,9.078044338315076e-05,0.00011471821816809136,4.9725941517174035e-05,4.974843423571545e-05,0.6547765433182844,1.0004523336885165,-0.020090316899611604,0.020090316899611604,0.029394328456759777,0.029436460643514975,1.0014333440825898,0.0006899258969828634,0.11223379158245568,1.2438039062148432,0.30572542034610267,1.2434182383195103,11.082258637774418,2.7240050971769314,0.09023431348113925,-0.14231839341672872,-0.14211722557618844,34.64950251579285,14.489147186279297
4,31,2.0,1.0,1.0,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.03750248347470368,0.1573640636016304,0.07956285794186845,-0.8147272992950545,0.005930989065286425,0.005513394891568268,0.005217580439307907,0.0046801231200707,0.004726817080219641,0.21090343135800682,1.0099770794380802,0.1852727007049455,0.1852727007049455,0.19501153015885586,0.1946374296360382,0.998081649210624,0.007000112727291915,0.08326671337603375,11.591710929263494,0.7639424032270924,11.618047041510815,139.21182257927185,9.174643410952427,0.007183297951799795,-0.019447371513926507,-0.01796137698231501,36.49293041229248,14.434860229492188
4,31,3.0,1.0,1.0,0.026666666666666672,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.03828802334435192,0.17105259560671388,0.06817329330458628,-0.7451013160133046,0.006143799067024968,0.005690057931029026,0.00572111986580219,0.005220212375870737,0.005277361060311937,0.15032827100601487,1.0109475784367234,0.25489868398669535,0.25489868398669535,0.1991319688583789,0.1988604481871462,0.9986364787492973,0.006627564457402823,0.16870657699903002,17.26157742470504,-1.0415082898455312,17.301684981370027,102.31715758659657,-6.17348954837439,0.009773531864913719,0.02437742712144647,0.024723465548583366,37.121073722839355,14.48447036743164
