analysis_source,source_run,N,geometry,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds,extent,t_extent,amplitude,width,radius,mass,eps,omega,k,score,interior_crop,residual_fit,residual_action,residual_H,bianchi_abs,G_mixed_norm,S_min,S_max,sweep_label,sweep_amplitude,sweep_width,sweep_omega,sweep_Aomega,sweep_score,resolution_stage,redesign
Stage7A-C resolution ladder,stage7_cross_geometry_N51,51,static_shell,-0.0055778920169264,19.37969832446686,-0.0002407170840983,1.302497997678372,0.3855718654311523,0.0072950546936995,0.069566848772334,2477520,6765201,0.3662152831822735,139.46263337135315,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0075282545787457,0.0098055365148294,0.0096118912367855,0.0001189328662284,0.0163032178951495,4.298249466942153e-30,0.999995997606208,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N51,51,gaussian_pulse,0.0160190035308695,-0.6537302235097102,0.0154492857626018,1.1403999869670285,0.0065659220474059,0.0043099561587224,0.0755380937256292,108559,6765201,0.0160466776966419,102.69066405296326,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0105690933361491,0.0120529939027977,0.01541895714211,7.170829419322201e-05,0.0166378245050359,3.6627321008341896e-60,0.8043041560655723,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N51,51,weak_gw_packet,-0.0001008828534209,-0.4110102365002497,0.0001058630269431,1.165563730024359,0.0012246259500265,0.0796597340161225,0.0055651183370445,250803,6765201,0.0370725127013964,94.09936904907228,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0074351210357358,0.0086661074075948,0.00805895791583,0.000763161069294,0.0095802613292633,-0.5395471442981055,1.0,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N51,51,schwarzschild_like,0.0933588441642913,0.5916791835171223,-0.0665849598559908,1.7832769178769454,0.8950318328399133,0.6501055621080684,0.9657493920549396,2477520,6765201,0.3662152831822735,92.20792412757874,5.0,1.0,0.0,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.1121795746096149,0.2000472460585809,0.1282983384641402,0.1099960600987807,0.1691972296654429,4.298249466942153e-30,0.999995997606208,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N51,51,frw,-0.016223826645641,3.232880996116104,0.0074870817277086,1.0013247582631166,0.1899349537215381,0.0007386463454111,0.4492397947998315,4100625,6765201,0.606134984015996,92.82036685943604,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0990283926800568,0.0991595813615428,0.0991127861108206,4.788648537469115e-05,0.0648300579461126,-0.9995736030415052,0.9995736030415052,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N61_frw,61,frw,-0.015091653616155,3.041026384362904,0.0074919857845905,1.0012479684087925,0.1818875130909232,0.0005081668114848,0.4522735441301257,9150625,13845841,0.6608934047415393,468.7966122627258,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0988825232401278,0.0990059255053132,0.0989603154089412,3.316710452786844e-05,0.0652681438029317,-0.9995736030415052,0.9995736030415052,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N61_gaussian_pulse,61,gaussian_pulse,0.0155234102571304,-0.6597608279354916,0.0149330807392396,1.1406151042491868,0.006419022651113,0.00310570027529,0.0757317386000258,227663,13845841,0.0164426992914334,478.9972267150879,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0106172714838429,0.0121102202203853,0.0156973827212933,5.206172115514522e-05,0.0167632793059152,3.6627321008341896e-60,0.8043041560655723,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N61_schwarzschild_like,61,schwarzschild_like,0.0894237244409959,0.6006300883325902,-0.0684541639259132,1.7878776213533896,0.976663221027848,0.6992724404161224,1.0817093825948445,5263005,13845841,0.3801145051427356,447.0734062194824,5.0,1.0,0.0,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.134257478723373,0.2400359417088475,0.1538440714795682,0.1326731266609177,0.1897302381629207,4.298249466942153e-30,0.9999907848426556,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N61_static_shell,61,static_shell,-0.00643223623644,19.285614289983663,-0.0006852893039531,1.262552640540949,0.3847547695721571,0.0055152188635916,0.0709115292769908,5263005,13845841,0.3801145051427356,460.1006212234497,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0081582729692118,0.0103002490795323,0.0101174657741016,9.161742385677872e-05,0.0166117476246653,4.298249466942153e-30,0.9999907848426556,,,,,,,,
Stage7A-C resolution ladder,stage7_cross_geometry_N61_weak_gw_packet,61,weak_gw_packet,-0.0001024897847891,-0.2820440023075323,9.954225259594456e-05,1.2292249922949563,0.0011252361978756,0.0787397730614267,0.0055957177633369,528011,13845841,0.0381349894166775,467.6397297382355,5.0,1.0,0.025,0.75,2.5,1.25,0.35,2.0,5.0,localized,3.0,0.0060579928843392,0.0074466362565748,0.0062929824298919,0.0006423480205446,0.0081578596885666,-0.5384028556154596,1.0,,,,,,,,
