section,rank,relation,cheb_distance,tile_id,t0,t1,x0,x1,y0,y1,z0,z1,n,rho_peak_err,rho_peak_ref,rho_tile_ratio,rho_abs_sum,file
global_top_ratio,33,,,85493,225,234,31,62,124,155,153,162,50981,0.00015750161689394017,0.00035508717651078653,0.4435576030697795,5.1855994213035904e-05,N301_v1_sigma4_R3/tiles/tile085493_t225-234_x31-62_y124-155_z153-162.score.json
global_top_ratio,34,,,71892,189,198,31,62,124,155,144,153,58667,0.0004548113041645234,0.0010357287124169979,0.4391220391130862,0.00013769763179445073,N301_v1_sigma4_R3/tiles/tile071892_t189-198_x31-62_y124-155_z144-153.score.json
global_top_ratio,35,,,71893,189,198,31,62,124,155,153,162,58243,0.00045118823222149474,0.0010357287124169979,0.43562394941103116,0.00016443617376126867,N301_v1_sigma4_R3/tiles/tile071893_t189-198_x31-62_y124-155_z153-162.score.json
global_top_ratio,36,,,84472,216,225,248,279,124,155,144,153,58768,0.0004569532367724674,0.0010493498288482168,0.4354632022707114,0.00013968128687130176,N301_v1_sigma4_R3/tiles/tile084472_t216-225_x248-279_y124-155_z144-153.score.json
global_top_ratio,37,,,74271,189,198,248,279,124,155,135,144,52150,0.00020928633411806816,0.00048226503278878596,0.4339653922405105,8.534396168526991e-05,N301_v1_sigma4_R3/tiles/tile074271_t189-198_x248-279_y124-155_z135-144.score.json
global_top_ratio,38,,,82091,216,225,31,62,124,155,135,144,52051,0.00020517285431945458,0.0004747396175621201,0.43217976071400344,8.390891292810457e-05,N301_v1_sigma4_R3/tiles/tile082091_t216-225_x31-62_y124-155_z135-144.score.json
global_top_ratio,39,,,84473,216,225,248,279,124,155,153,162,58328,0.0004534850560441784,0.0010493498288482168,0.43215812646763463,0.0001668042428185027,N301_v1_sigma4_R3/tiles/tile084473_t216-225_x248-279_y124-155_z153-162.score.json
global_top_ratio,40,,,75325,198,207,31,62,155,186,135,144,52574,0.00034937040382095085,0.0008115486667019717,0.43049840158169045,0.000152442336683139,N301_v1_sigma4_R3/tiles/tile075325_t198-207_x31-62_y155-186_z135-144.score.json
global_top_ratio,41,,,81105,207,216,248,279,155,186,135,144,52669,0.00035376661780982407,0.000822989902763932,0.429855356210001,0.00015493677550101697,N301_v1_sigma4_R3/tiles/tile081105_t207-216_x248-279_y155-186_z135-144.score.json
global_top_ratio,42,,,71926,189,198,31,62,155,186,144,153,55669,0.00044432900915180104,0.0010357287124169979,0.4290013435225772,0.0001837793656579616,N301_v1_sigma4_R3/tiles/tile071926_t189-198_x31-62_y155-186_z144-153.score.json
global_top_ratio,43,,,77705,198,207,248,279,155,186,135,144,50861,0.0002722925091726168,0.0006349545163525948,0.42883781776490404,0.00011498887529471802,N301_v1_sigma4_R3/tiles/tile077705_t198-207_x248-279_y155-186_z135-144.score.json
global_top_ratio,44,,,78725,207,216,31,62,155,186,135,144,50746,0.00026777672780801953,0.000625570139568774,0.4280522852203381,0.00011305862765375746,N301_v1_sigma4_R3/tiles/tile078725_t207-216_x31-62_y155-186_z135-144.score.json
global_top_ratio,45,,,84506,216,225,248,279,155,186,144,153,55754,0.000446886459115386,0.0010493498288482168,0.42586985467553345,0.00018660148896768253,N301_v1_sigma4_R3/tiles/tile084506_t216-225_x248-279_y155-186_z144-153.score.json
global_top_ratio,46,,,71927,189,198,31,62,155,186,153,162,55192,0.00044024554909946514,0.0010357287124169979,0.4250587473548928,0.00019340728680340794,N301_v1_sigma4_R3/tiles/tile071927_t189-198_x31-62_y155-186_z153-162.score.json
global_top_ratio,47,,,70906,180,189,248,279,155,186,144,153,48513,0.00015330396009151896,0.0003609882966445406,0.4246784771598147,5.615849128346825e-05,N301_v1_sigma4_R3/tiles/tile070906_t180-189_x248-279_y155-186_z144-153.score.json
global_top_ratio,48,,,84507,216,225,248,279,155,186,153,162,55278,0.0004429411202933754,0.0010493498288482168,0.4221100610266022,0.0001963891010415331,N301_v1_sigma4_R3/tiles/tile084507_t216-225_x248-279_y155-186_z153-162.score.json
global_top_ratio,49,,,85526,225,234,31,62,155,186,144,153,48409,0.00014985795260403863,0.00035508717651078653,0.4220314404946876,5.5157438974415595e-05,N301_v1_sigma4_R3/tiles/tile085526_t225-234_x31-62_y155-186_z144-153.score.json
global_top_ratio,50,,,71891,189,198,31,62,124,155,135,144,57481,0.0004331169088546891,0.0010357081774991321,0.41818430931047856,0.00019693813208277383,N301_v1_sigma4_R3/tiles/tile071891_t189-198_x31-62_y124-155_z135-144.score.json
global_top_abs_err,1,,,864,0,9,62,93,155,186,126,135,34609,0.01957370339842047,0.007637379653496855,2.5628820729709885,0.0003008951317725123,N301_v1_sigma4_R3/tiles/tile000864_t0-9_x62-93_y155-186_z126-135.score.json
global_top_abs_err,2,,,8210,18,27,124,155,31,62,144,153,68900,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.021891296322434074,N301_v1_sigma4_R3/tiles/tile008210_t18-27_x124-155_y31-62_z144-153.score.json
global_top_abs_err,3,,,8302,18,27,124,155,124,155,54,63,77841,0.001352937581175502,0.039359896580260394,0.034373504473434555,0.0702718429571985,N301_v1_sigma4_R3/tiles/tile008302_t18-27_x124-155_y124-155_z54-63.score.json
global_top_abs_err,4,,,8322,18,27,124,155,124,155,234,243,77841,0.001352937581175502,0.03937785363627107,0.03435782949656014,0.08878440867884779,N301_v1_sigma4_R3/tiles/tile008322_t18-27_x124-155_y124-155_z234-243.score.json
global_top_abs_err,5,,,8414,18,27,124,155,217,248,144,153,77841,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.03547543395125761,N301_v1_sigma4_R3/tiles/tile008414_t18-27_x124-155_y217-248_z144-153.score.json
global_top_abs_err,6,,,86750,225,234,155,186,31,62,144,153,66776,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.01813793476467098,N301_v1_sigma4_R3/tiles/tile086750_t225-234_x155-186_y31-62_z144-153.score.json
global_top_abs_err,7,,,86842,225,234,155,186,124,155,54,63,77841,0.001352937581175502,0.039359896580260394,0.034373504473434555,0.058924497965345934,N301_v1_sigma4_R3/tiles/tile086842_t225-234_x155-186_y124-155_z54-63.score.json
global_top_abs_err,8,,,86862,225,234,155,186,124,155,234,243,77841,0.001352937581175502,0.03937785363627107,0.03435782949656014,0.0840763749318999,N301_v1_sigma4_R3/tiles/tile086862_t225-234_x155-186_y124-155_z234-243.score.json
global_top_abs_err,9,,,86954,225,234,155,186,217,248,144,153,77841,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.03535800888143368,N301_v1_sigma4_R3/tiles/tile086954_t225-234_x155-186_y217-248_z144-153.score.json
global_top_abs_err,10,,,93550,243,252,155,186,31,62,144,153,67244,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.018854281187133906,N301_v1_sigma4_R3/tiles/tile093550_t243-252_x155-186_y31-62_z144-153.score.json
global_top_abs_err,11,,,93642,243,252,155,186,124,155,54,63,77841,0.001352937581175502,0.039359896580260394,0.034373504473434555,0.061112659994737924,N301_v1_sigma4_R3/tiles/tile093642_t243-252_x155-186_y124-155_z54-63.score.json
global_top_abs_err,12,,,93662,243,252,155,186,124,155,234,243,77841,0.001352937581175502,0.03937785363627107,0.03435782949656014,0.08522257834898349,N301_v1_sigma4_R3/tiles/tile093662_t243-252_x155-186_y124-155_z234-243.score.json
global_top_abs_err,13,,,93754,243,252,155,186,217,248,144,153,77841,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.03538912996100314,N301_v1_sigma4_R3/tiles/tile093754_t243-252_x155-186_y217-248_z144-153.score.json
global_top_abs_err,14,,,103750,270,279,155,186,31,62,144,153,67807,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.019806310901146495,N301_v1_sigma4_R3/tiles/tile103750_t270-279_x155-186_y31-62_z144-153.score.json
global_top_abs_err,15,,,103842,270,279,155,186,124,155,54,63,77841,0.001352937581175502,0.039359896580260394,0.034373504473434555,0.06400472453792365,N301_v1_sigma4_R3/tiles/tile103842_t270-279_x155-186_y124-155_z54-63.score.json
global_top_abs_err,16,,,103862,270,279,155,186,124,155,234,243,77841,0.001352937581175502,0.03937785363627107,0.03435782949656014,0.08656363643365511,N301_v1_sigma4_R3/tiles/tile103862_t270-279_x155-186_y124-155_z234-243.score.json
global_top_abs_err,17,,,103954,270,279,155,186,217,248,144,153,77841,0.001352937581175502,0.03932194364714176,0.03440668124943627,0.03542392419211092,N301_v1_sigma4_R3/tiles/tile103954_t270-279_x155-186_y217-248_z144-153.score.json
global_top_abs_err,18,,,18410,45,54,124,155,31,62,144,153,68758,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.021723226170291324,N301_v1_sigma4_R3/tiles/tile018410_t45-54_x124-155_y31-62_z144-153.score.json
global_top_abs_err,19,,,18502,45,54,124,155,124,155,54,63,77841,0.0013529375811754951,0.039359896580260394,0.03437350447343438,0.0697701620328305,N301_v1_sigma4_R3/tiles/tile018502_t45-54_x124-155_y124-155_z54-63.score.json
global_top_abs_err,20,,,18522,45,54,124,155,124,155,234,243,77841,0.0013529375811754951,0.03937785363627107,0.034357829496559966,0.0886415232384779,N301_v1_sigma4_R3/tiles/tile018522_t45-54_x124-155_y124-155_z234-243.score.json
global_top_abs_err,21,,,18614,45,54,124,155,217,248,144,153,77841,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.03547249816375139,N301_v1_sigma4_R3/tiles/tile018614_t45-54_x124-155_y217-248_z144-153.score.json
global_top_abs_err,22,,,28610,72,81,124,155,31,62,144,153,68580,0.0013529375811754951,0.03932194364714176,0.03440668124943609,0.02136008435593759,N301_v1_sigma4_R3/tiles/tile028610_t72-81_x124-155_y31-62_z144-153.score.json
